series_id,station_id,station,river,variable,var_id,unit,network,province,procedure,lat,lon,live,percentiles
52,52,San Fernando,LUJAN,Altura hidrométrica,2,,alturas_prefe,,,-34.4333333333,-58.55,True,
26202,52,San Fernando,LUJAN,Altura hidrométrica,2,,alturas_prefe,,,-34.4333333333,-58.55,True,
31537,52,San Fernando,LUJAN,Altura hidrométrica,2,,alturas_prefe,,,-34.4333333333,-58.55,True,
25531,53,San Isidro,RIODELAPLATA,Altura hidrométrica media mensual,33,,alturas_prefe,,,-34.457166,-58.507163,True,
54,54,Olivos,RIODELAPLATA,Altura hidrométrica,2,,alturas_prefe,,,-34.506666,-58.475863,True,
25532,54,Olivos,RIODELAPLATA,Altura hidrométrica media mensual,33,,alturas_prefe,,,-34.506666,-58.475863,True,
26296,54,Olivos,RIODELAPLATA,Altura hidrométrica media diaria,39,,alturas_prefe,,,-34.506666,-58.475863,True,
26651,54,Olivos,RIODELAPLATA,Caudal medio diario,40,,alturas_prefe,,,-34.506666,-58.475863,True,
1524,55,Puerto Pilcomayo,PARAGUAY,Caudal,4,,alturas_prefe,,,-25.3666666666667,-57.65,True,
3530,55,Puerto Pilcomayo,PARAGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-25.3666666666667,-57.65,True,
26652,55,Puerto Pilcomayo,PARAGUAY,Caudal medio diario,40,,alturas_prefe,,,-25.3666666666667,-57.65,True,
25534,56,Bouvier,PARAGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-25.451947,-57.568182,True,
26653,56,Bouvier,PARAGUAY,Caudal medio diario,40,,alturas_prefe,,,-25.451947,-57.568182,True,
3127,57,Puerto Formosa,PARAGUAY,Altura hidrométrica,2,,alturas_prefe,,,-26.1833333333333,-58.1833333333333,True,
3531,57,Puerto Formosa,PARAGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-26.1833333333333,-58.1833333333333,True,
58,58,Bermejo,PARAGUAY,Altura hidrométrica,2,,alturas_prefe,,,-26.92629,-58.506205,True,True
907,58,Bermejo,PARAGUAY,Caudal,4,,alturas_prefe,,,-26.92629,-58.506205,True,
25536,58,Bermejo,PARAGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-26.92629,-58.506205,True,
26300,58,Bermejo,PARAGUAY,Altura hidrométrica media diaria,39,,alturas_prefe,,,-26.92629,-58.506205,True,
25537,59,Isla del Cerrito,PARAGUAY,Altura hidrométrica media mensual,33,,alturas_prefe,,,-27.3166666666667,-58.6166666666667,True,
60,60,Pepirí Miní,URUGUAY,Altura hidrométrica,2,,alturas_prefe,,,-27.153744,-53.933149,True,
