series_id,station_id,station,river,variable,var_id,unit,network,procedure,lat,lon,live,n_obs,last_seen,percentiles
26565,2776,PN Trinidad - Condorito ,,Altura hidrométrica media diaria,39,,sat2,,-31.6911111111111,-64.8527777777778,False,0,,
38444,2776,PN Trinidad - Condorito ,,Altura hidrométrica 4-horaria,101,,sat2,,-31.6911111111111,-64.8527777777778,,,,
9547,2807,Salado - El Arenal,,Altura hidrométrica,2,,sat2,,-26.3741666666667,-63.7244444444444,,,,
9541,2808,Malargue - La Barda,,Altura hidrométrica,2,,sat2,,-35.5527777777778,-69.6825,False,0,,
26568,2808,Malargue - La Barda,,Altura hidrométrica media diaria,39,,sat2,,-35.5527777777778,-69.6825,,,,
38452,2808,Malargue - La Barda,,Altura hidrométrica 4-horaria,101,,sat2,,-35.5527777777778,-69.6825,,,,
9549,2809,Quinto - RP Nº26,,Altura hidrométrica,2,,sat2,,-34.7627777777778,-63.645,,,,
38456,2809,Quinto - RP Nº26,,Altura hidrométrica 4-horaria,101,,sat2,,-34.7627777777778,-63.645,True,17,2026-08-30T19:00:00.000Z,
9196,2810,Río Juramento El Quebrachal,,Altura hidrométrica,2,,sat2,,-25.3441666666667,-64.0461111111111,,,,
9459,2811,Río Neuquén - Dique Ballester,,Altura hidrométrica,2,,sat2,,-38.7247222222222,-68.1705555555556,,,,
9553,2812,Lago Viedma - Lago Viedma,,Altura hidrométrica,2,,sat2,,-49.3944444444444,-72.8694444444444,,,,
26572,2812,Lago Viedma - Lago Viedma,,Altura hidrométrica media diaria,39,,sat2,,-49.3944444444444,-72.8694444444444,True,2,2026-08-29T03:00:00.000Z,
9542,2813,Miriñay - Paso Mesa,,Altura hidrométrica,2,,sat2,,-28.9166666666667,-57.2363888888889,,,,
26573,2813,Miriñay - Paso Mesa,,Altura hidrométrica media diaria,39,,sat2,,-28.9166666666667,-57.2363888888889,,,,
38453,2813,Miriñay - Paso Mesa,,Altura hidrométrica 4-horaria,101,,sat2,,-28.9166666666667,-57.2363888888889,,,,
9546,2814,Río Metan - Desembocadura,,Altura hidrométrica,2,,sat2,,-25.3933333333333,-64.5922222222222,False,0,,
26574,2814,Río Metan - Desembocadura,,Altura hidrométrica media diaria,39,,sat2,,-25.3933333333333,-64.5922222222222,,,,
38454,2814,Río Metan - Desembocadura,,Altura hidrométrica 4-horaria,101,,sat2,,-25.3933333333333,-64.5922222222222,,,,
9409,2821,Río Salado RP Nº 51 - Achupall,,Altura hidrométrica,2,,sat2,,-35.0880555555556,-60.1088888888889,False,0,,
26575,2821,Río Salado RP Nº 51 - Achupall,,Altura hidrométrica media diaria,39,,sat2,,-35.0880555555556,-60.1088888888889,,,,
38436,2821,Río Salado RP Nº 51 - Achupall,,Altura hidrométrica 4-horaria,101,,sat2,,-35.0880555555556,-60.1088888888889,,,,
9019,2822,Pilcomayo - El Raúl,,Altura hidrométrica,2,,sat2,,-22.65,-62.2163888888889,,,,
